stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
103,103,Calle Sagunto,,41.765396,-2.471959,,,0,,,,,
104,104,Calle San Benito / Espolón,,41.765247,-2.473414,,,0,,,,,
105,105,Calle Segovia (A),,41.759468,-2.480117,,,0,,,,,
106,106,Calle Segovia (B),,41.760468,-2.478741,,,0,,,,,
107,107,Plaza Tirso de Molina (B),,41.76633,-2.462212,,,0,,,,,
108,108,Calle Merineros,,41.768038,-2.472492,,,0,,,,,
109,109,Calle Francisco de Agreda / IES Castilla,,41.760487,-2.47439,,,0,,,,,
110,110,Avenida Valladolid. nº 59,,41.768059,-2.483981,,,0,,,,,
111,111,Calle Doctrina / Mercado,,41.76573,-2.465757,,,0,,,,,
112,112,Calle Sanz oliveros,,41.764978,-2.462749,,,0,,,,,
113,113,Calle Fuente del Caño (B),,41.770745,-2.477535,,,0,,,,,
