route_id,trip_id,service_id,shape_id,trip_headsign,trip_short_name,direction_id,block_id
002,002_6_024_I_07:35,002_024_S,002_L2_T6_I,EL SALVADOR,,0,
002,002_6_024_I_08:00,002_024_S,002_L2_T6_I,EL SALVADOR,,0,
002,002_6_024_I_08:20,002_024_S,002_L2_T6_I,EL SALVADOR,,0,
002,002_6_024_I_08:45,002_024_S,002_L2_T6_I,EL SALVADOR,,0,
002,002_6_024_I_09:10,002_024_S,002_L2_T6_I,EL SALVADOR,,0,
002,002_6_024_I_09:35,002_024_S,002_L2_T6_I,EL SALVADOR,,0,
002,002_6_024_I_09:55,002_024_S,002_L2_T6_I,EL SALVADOR,,0,
002,002_6_024_I_10:20,002_024_S,002_L2_T6_I,EL SALVADOR,,0,
002,002_6_024_I_10:40,002_024_S,002_L2_T6_I,EL SALVADOR,,0,
002,002_6_024_I_11:05,002_024_S,002_L2_T6_I,EL SALVADOR,,0,
002,002_6_024_I_11:25,002_024_S,002_L2_T6_I,EL SALVADOR,,0,
002,002_6_024_I_11:50,002_024_S,002_L2_T6_I,EL SALVADOR,,0,
002,002_6_024_I_12:15,002_024_S,002_L2_T6_I,EL SALVADOR,,0,
002,002_6_024_I_12:40,002_024_S,002_L2_T6_I,EL SALVADOR,,0,
002,002_6_024_I_13:05,002_024_S,002_L2_T6_I,EL SALVADOR,,0,
002,002_6_024_I_14:30,002_024_S,002_L2_T6_I,EL SALVADOR,,0,
002,002_6_024_I_14:50,002_024_S,002_L2_T6_I,EL SALVADOR,,0,
002,002_6_024_I_15:10,002_024_S,002_L2_T6_I,EL SALVADOR,,0,
002,002_6_024_I_15:30,002_024_S,002_L2_T6_I,EL SALVADOR,,0,
002,002_6_024_I_15:50,002_024_S,002_L2_T6_I,EL SALVADOR,,0,
002,002_6_024_I_16:10,002_024_S,002_L2_T6_I,EL SALVADOR,,0,
002,002_6_024_I_16:30,002_024_S,002_L2_T6_I,EL SALVADOR,,0,
002,002_6_024_I_16:50,002_024_S,002_L2_T6_I,EL SALVADOR,,0,
002,002_6_024_I_17:15,002_024_S,002_L2_T6_I,EL SALVADOR,,0,
002,002_6_024_I_17:35,002_024_S,002_L2_T6_I,EL SALVADOR,,0,
002,002_6_024_I_17:55,002_024_S,002_L2_T6_I,EL SALVADOR,,0,
002,002_6_024_I_18:20,002_024_S,002_L2_T6_I,EL SALVADOR,,0,
002,002_6_024_I_18:40,002_024_S,002_L2_T6_I,EL SALVADOR,,0,
002,002_6_024_I_19:00,002_024_S,002_L2_T6_I,EL SALVADOR,,0,
002,002_6_024_I_19:25,002_024_S,002_L2_T6_I,EL SALVADOR,,0,
002,002_6_024_I_19:45,002_024_S,002_L2_T6_I,EL SALVADOR,,0,
002,002_6_024_I_20:05,002_024_S,002_L2_T6_I,EL SALVADOR,,0,
